"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Paula Fernandes - Pássaro De Fogo","2013-10-22","9rsPOVKW1TU","list(id = ""9rsPOVKW1TU"", viewCount = ""7148607"", likeCount = ""49252"", dislikeCount = ""2532"", favoriteCount = ""0"", commentCount = ""2120"")","7148607","49252","2532","Paula Fernandes"
"Paula Fernandes - Jeito De Mato / Céu Vermelho","2013-10-21","GB0xLex1KTw","list(id = ""GB0xLex1KTw"", viewCount = ""3827604"", likeCount = ""17613"", dislikeCount = ""763"", favoriteCount = ""0"", commentCount = ""878"")","3827604","17613","763","Paula Fernandes"
"Paula Fernandes - Diga (Dime)","2013-10-22","9RqCTAwOGjo","list(id = ""9RqCTAwOGjo"", viewCount = ""1071661"", likeCount = ""2775"", dislikeCount = ""135"", favoriteCount = ""0"", commentCount = ""154"")","1071661","2775","135","Paula Fernandes"
"Paula Fernandes - Se O Coração Viajar","2013-06-10","fWxBAZgGX6c","list(id = ""fWxBAZgGX6c"", viewCount = ""2321812"", likeCount = ""10674"", dislikeCount = ""692"", favoriteCount = ""0"", commentCount = ""1070"")","2321812","10674","692","Paula Fernandes"
"Paula Fernandes - Eu Sem Você","2013-10-21","mQpnBuooIiQ","list(id = ""mQpnBuooIiQ"", viewCount = ""2179217"", likeCount = ""13488"", dislikeCount = ""711"", favoriteCount = ""0"", commentCount = ""493"")","2179217","13488","711","Paula Fernandes"
"Paula Fernandes - Sem Você / Amanheceu, Peguei A Viola / Sorriso Mudo","2013-10-22","-AdeXcmNW84","list(id = ""-AdeXcmNW84"", viewCount = ""747546"", likeCount = ""1939"", dislikeCount = ""69"", favoriteCount = ""0"", commentCount = ""61"")","747546","1939","69","Paula Fernandes"
"I'm Gonna Getcha Good! / Whose Bed Have Your Boots Been Under? / Man! I Feel Like A Woman","2013-10-22","WMd_V3uWY70","list(id = ""WMd_V3uWY70"", viewCount = ""1010870"", likeCount = ""3429"", dislikeCount = ""191"", favoriteCount = ""0"", commentCount = ""291"")","1010870","3429","191","Paula Fernandes"
"Paula Fernandes - Cheiro de Relva","2013-03-10","jhi0tXLmvUA","list(id = ""jhi0tXLmvUA"", viewCount = ""239912"", likeCount = ""1653"", dislikeCount = ""97"", favoriteCount = ""0"", commentCount = ""187"")","239912","1653","97","Paula Fernandes"
"Paula Fernandes, Shania Twain - You're Still The One","2014-08-01","JyZdrkrxD4o","list(id = ""JyZdrkrxD4o"", viewCount = ""11742263"", likeCount = ""95066"", dislikeCount = ""2790"", favoriteCount = ""0"", commentCount = ""3734"")","11742263","95066","2790","Paula Fernandes"
"Paula Fernandes, Mickael Carreira - Eu Sem Você","2014-09-30","JYFehWYz48c","list(id = ""JYFehWYz48c"", viewCount = ""1103389"", likeCount = ""9776"", dislikeCount = ""559"", favoriteCount = ""0"", commentCount = ""456"")","1103389","9776","559","Paula Fernandes"
"Paula Fernandes - A Paz Desse Amor","2015-09-16","RJPBP_uP58c","list(id = ""RJPBP_uP58c"", viewCount = ""11854823"", likeCount = ""61252"", dislikeCount = ""2730"", favoriteCount = ""0"", commentCount = ""2951"")","11854823","61252","2730","Paula Fernandes"
"Paula Fernandes, Victor & Leo - Depois","2015-05-18","qkvHtU20gkk","list(id = ""qkvHtU20gkk"", viewCount = ""1578573"", likeCount = ""10690"", dislikeCount = ""275"", favoriteCount = ""0"", commentCount = ""347"")","1578573","10690","275","Paula Fernandes"
"Paula Fernandes, Chitãozinho, Xororó - Pegando Lágrimas","2015-01-07","ewphMnxkPdU","list(id = ""ewphMnxkPdU"", viewCount = ""4779294"", likeCount = ""12641"", dislikeCount = ""666"", favoriteCount = ""0"", commentCount = ""373"")","4779294","12641","666","Paula Fernandes"
"Paula Fernandes - Amanhecer","2015-10-16","b3x-krmrR_4","list(id = ""b3x-krmrR_4"", viewCount = ""1663894"", likeCount = ""14111"", dislikeCount = ""433"", favoriteCount = ""0"", commentCount = ""893"")","1663894","14111","433","Paula Fernandes"
"Paula Fernandes - VEVO Sessions Paula Fernandes: Sensações","2015-09-02","twBez5xrLco","list(id = ""twBez5xrLco"", viewCount = ""145320"", likeCount = ""2156"", dislikeCount = ""71"", favoriteCount = ""0"", commentCount = ""132"")","145320","2156","71","Paula Fernandes"
"Paula Fernandes - Upfront VEVO Paula Fernandes - Pássaro De Fogo","2015-06-03","WxRz90GsseQ","list(id = ""WxRz90GsseQ"", viewCount = ""231788"", likeCount = ""2543"", dislikeCount = ""96"", favoriteCount = ""0"", commentCount = ""145"")","231788","2543","96","Paula Fernandes"
"Paula Fernandes - VEVO Sessions Paula Fernandes: A Paz Desse Amor","2015-09-02","AFWUjIQIuyc","list(id = ""AFWUjIQIuyc"", viewCount = ""254149"", likeCount = ""2421"", dislikeCount = ""89"", favoriteCount = ""0"", commentCount = ""177"")","254149","2421","89","Paula Fernandes"
